"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"877",22235,"HY549247","12/24/2015 07:09:00 PM","003XX W 111TH PL","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false",522,5,34,49,"01A",1176074,1830987,2015,"06/05/2016 03:49:37 PM",41.691583891,-87.630995465,"(41.691583891, -87.630995465)"
"47429",10222837,"HY409243","09/03/2015 07:28:12 PM","057XX N SHERIDAN RD","0142","HOMICIDE","RECKLESS HOMICIDE","STREET","true","false",2022,20,48,77,"01B",1168593,1938326,2015,"02/03/2016 03:52:18 PM",41.9862963,-87.655281972,"(41.9862963, -87.655281972)"
"47454",22182,"HY509229","11/20/2015 09:08:00 PM","070XX S CALUMET AVE","0110","HOMICIDE","FIRST DEGREE MURDER","AUTO","true","false",322,3,6,69,"01A",1179696,1858440,2015,"02/04/2016 06:33:39 AM",41.766836507,-87.616898425,"(41.766836507, -87.616898425)"
"101677",10097071,"HY285524","06/02/2015 09:41:19 PM","064XX S ASHLAND AVE","0142","HOMICIDE","RECKLESS HOMICIDE","STREET","false","false",725,7,15,67,"01B",1166774,1862112,2015,"08/17/2015 03:03:40 PM",41.777198547,-87.664157893,"(41.777198547, -87.664157893)"
"121950",21907,"HY291065","06/07/2015 03:50:00 AM","016XX N CICERO AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false",2533,25,37,25,"01A",1144091,1910384,2015,"04/17/2016 03:50:45 PM",41.910117898,-87.746104545,"(41.910117898, -87.746104545)"
"122209",21908,"HY291065","06/07/2015 03:50:00 AM","016XX N CICERO AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false",2533,25,37,25,"01A",1144091,1910384,2015,"04/17/2016 03:50:45 PM",41.910117898,-87.746104545,"(41.910117898, -87.746104545)"
"233032",22430,"HY551683","12/27/2015 02:05:00 PM","003XX W 116TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","true","false",522,5,34,53,"01A",NA,NA,2015,"04/20/2016 03:55:16 PM",NA,NA,""
"252604",22387,"HY471497","10/23/2015 03:42:00 PM","076XX S EBERHART AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",624,6,6,69,"01A",NA,NA,2015,"03/20/2016 03:47:00 PM",NA,NA,""
"252607",22407,"HY471252","10/23/2015 02:01:00 PM","087XX S WABASH AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false",632,6,6,44,"01A",NA,NA,2015,"04/03/2016 03:49:03 PM",NA,NA,""
"252850",10047709,"HY237154","04/26/2015 09:58:36 PM","087XX S LAFAYETTE AVE","0142","HOMICIDE","RECKLESS HOMICIDE","STREET","true","false",634,6,21,44,"01B",1177462,1847094,2015,"02/16/2016 03:47:49 PM",41.735752519,-87.625429032,"(41.735752519, -87.625429032)"
