,X,School_Boundary,School_ID,School_Name_Tag,Primary_Category,School_Type,Attendance_Boundaries,School_Longitude,School_Latitude,Totals_20th,ACT_Overall_Read,ACT_Overall_Math,ACT_Overall_Science,ACT_Overall_English,ACT_Overall_Composite,Bilingual_N,SpED_N,FreeReducedLunch_N,White_N,AfricanAmerican_N,PacificIslander_N,NativeAmerican_N,Hispanic_N,Multi_N,Asian_N,Hawaiian_N,SQRP_HS_Points,School_Longitude.1,School_Latitude.1,Crime_Count
1,1,1,609694,HANCOCK_HS_2013,HS,Neighborhood,Y,-87.72447,41.791464,928,16.7,16.5,17,15.6,16.5,86,108,893,38,8,0,2,867,5,5,1,3,-87.72447,41.791464,124
2,2,2,609691,NORTH-GRAND_HS_2013,HS,Neighborhood,Y,-87.735238,41.911674,910,15.8,16.7,16.9,14.2,15.9,175,159,878,4,66,0,3,833,1,2,1,3.2,-87.735238,41.911674,336
3,3,3,609695,AMUNDSEN_HS_2013,HS,Neighborhood,Y,-87.679484,41.975067,1266,16.4,17.1,16.8,15.5,16.5,133,168,1172,129,138,1,6,787,8,185,5,3.2,-87.679484,41.975067,454
4,4,4,609698,BOGAN_HS_2013,HS,Neighborhood,Y,-87.721097,41.749376,1115,15.4,15.8,15.6,14.5,15.3,83,204,561,26,538,0,10,533,7,1,0,2.9,-87.721097,41.749376,745
5,5,8,609707,ROBESON_HS_2013,HS,Neighborhood,Y,-87.637153,41.769714,372,13.1,14.9,14,11.6,13.4,0,93,370,0,371,0,0,1,0,0,0,2,-87.637153,41.769714,3302
6,6,9,609708,FOREMAN_HS_2013,HS,Neighborhood,Y,-87.754167,41.939797,1507,14.7,16.5,15.6,13.3,15,263,240,1417,57,222,0,5,1201,6,10,2,2.6,-87.754167,41.939797,1224
7,7,10,609710,HARLAN_HS_2013,HS,Neighborhood,Y,-87.620623,41.718372,918,15.1,15.4,15.1,13.9,14.9,1,178,825,0,904,0,1,6,6,1,0,1.8,-87.620623,41.718372,2095
8,8,11,609723,MARSHALL_HS_2013,HS,Neighborhood,Y,-87.70805,41.878444,624,14.3,15.5,14.5,12.4,14.2,1,164,493,1,606,0,0,12,3,1,0,1.5,-87.70805,41.878444,2406
9,9,11,610389,ORR_HS_2013,HS,Neighborhood,Y,-87.726166,41.894449,647,14.1,14.9,14.6,12.5,14,20,145,449,1,556,0,1,87,2,0,0,1.6,-87.726166,41.894449,2406
10,10,13,609712,HIRSCH_HS_2013,HS,Neighborhood,Y,-87.601727,41.753748,273,13.6,14.9,14.4,12,13.7,1,78,265,1,270,0,0,2,0,0,0,1.3,-87.601727,41.753748,1379
11,11,15,609713,HYDE_PARK_HS_2013,HS,Neighborhood,Y,-87.586615,41.782257,1001,15,15.6,15.3,13.8,14.9,2,159,955,0,989,0,0,4,7,0,0,2.1,-87.586615,41.782257,1593
12,12,17,609716,KELVYN_PARK_HS_2013,HS,Neighborhood,Y,-87.735999,41.927918,890,14.8,15.7,14.9,13.9,14.8,149,155,855,20,47,0,3,791,19,1,0,1.5,-87.735999,41.927918,715
13,13,18,609718,KENNEDY_HS_2013,HS,Neighborhood,Y,-87.78084,41.789961,1506,17.7,17.9,17.7,17.2,17.6,105,291,1296,385,66,0,7,1031,4,8,5,2.7,-87.78084,41.789961,512
14,14,19,609719,LAKE_VIEW_HS_2013,HS,Neighborhood,Y,-87.668953,41.954764,1436,17.7,18.8,18.6,17.2,18.1,64,177,1260,182,173,0,9,932,31,105,4,3.2,-87.668953,41.954764,977
15,15,20,609722,MANLEY_HS_2013,HS,Neighborhood,Y,-87.699896,41.870939,450,14.4,15.3,14.5,12.1,14.1,0,122,344,0,441,0,0,9,0,0,0,2.4,-87.699896,41.870939,2682
16,16,21,609724,MATHER_HS_2013,HS,Neighborhood,Y,-87.702496,41.987589,1623,17.1,17.6,17.3,16,17,310,187,1432,341,202,3,11,604,28,426,6,2.8,-87.702496,41.987589,629
17,17,22,609725,MORGAN_PARK_HS_2013,HS,Neighborhood,Y,-87.665658,41.692035,1431,18.8,18.1,18.1,17.8,18.2,1,172,1150,18,1376,0,1,21,13,1,1,2.3,-87.665658,41.692035,819
18,18,23,609727,PHILLIPS_HS_2013,HS,Neighborhood,Y,-87.619796,41.82388,670,15.4,16.3,15.6,13.7,15.2,8,136,651,2,653,0,2,6,5,2,0,1.9,-87.619796,41.82388,3685
19,19,24,609728,ROOSEVELT_HS_2013,HS,Neighborhood,Y,-87.714819,41.964828,1437,15.2,16.9,16.2,14.1,15.6,303,227,1398,72,157,1,5,1042,9,86,2,2.1,-87.714819,41.964828,753
20,20,25,609729,SCHURZ_HS_2013,HS,Neighborhood,Y,-87.735612,41.946365,2379,15.4,16.4,15.8,14,15.4,318,410,2269,134,219,0,15,1930,15,24,2,2.3,-87.735612,41.946365,1726
21,21,26,609730,SENN_HS_2013,HS,Neighborhood,Y,-87.667136,41.989029,1162,17.8,18,17.4,16.1,17.3,123,129,1032,108,327,0,5,521,33,161,6,3.4,-87.667136,41.989029,1688
22,22,27,609732,STEINMETZ_HS_2013,HS,Neighborhood,Y,-87.783515,41.935634,1809,16.4,16.9,16.7,14.8,16.2,209,264,1689,191,227,0,14,1331,6,36,1,2.8,-87.783515,41.935634,1133
